F28	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση κοινού για τη λήψη μέτρων αυτοπροστασίας από τον κίνδυνο των δασικών πυρκαγιών- Ενημέρωση του κοινού σε τοπικό Επίπεδο	Πρόληψη, Ετοιμότητα	Δασικές Υπηρεσίες, Π.Σ, Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	-	-
F29	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Προληπτική απαγόρευση της κυκλοφορίας - Λήψη απόφασης, στο πλαίσιο του συντονιστικού οργάνου Πολιτικής Προστασίας της Περιφερειακής Ενότητας, για την απαγόρευση της κυκλοφορίας οχημάτων και παραμονής εκδρομέων σε εθνικούς δρυμούς, δάση και "ευπαθείς" περιοχές σε ημέρες και ώρες που θεωρούνται επικίνδυνες	Πρόληψη	Περιφέρειες-Περιφερειακές Ενότητες	Περιφερειάρχης/Αντιπεριφερειάρχης	-
F30	Δασικές Πυρκαγιές	Συμμετοχή εθελοντικών οργανώσεων	Καθορισμός, στο πλαίσιο του συντονιστικού οργάνου Πολιτικής Προστασίας της Περιφερειακής Ενότητας, της συμμετοχή των εθελοντικών οργανώσεων στην επιτήρηση των δασών και των δασικών εκτάσεων για την επισήμανση των πυρκαγιών	Πρόληψη	Περιφέρειες-Περιφερειακές Ενότητες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
F31	Δασικές Πυρκαγιές	Συμμετοχή εθελοντικών οργανώσεων	Καθορισμός των δράσεων για τη συμμετοχή των εθελοντών στην πρόληψη και ετοιμότητα για την αντιμετώπιση των δασικών πυρκαγιών	Πρόληψη	Πυροσβεστικό Σώμα	-	-
F32	Δασικές Πυρκαγιές	Ενέργεις για τον σχεδιασμό πολιτικής προστασίας και για τον συντονισμό των φορέων	Οργάνωση Συντονιστικού Πολιτικής Προστασίας των Περιφερειακών Ενοτήτων (ΣΟΠΠ). Kαθορισμός μέτρων πρόληψης και δράσεων συντονισμού στο επίπεδο της περιφερειακής ενότητας	Πρόληψη, Ετοιμότητα	Περιφέρειες, Περιφερειακές Ενότητες	Δ/νση Πολιτικής Προστασίας των Περιφερειών/ Τμήματα Π.Π. των Περιφερειακών Ενοτήτων	Όλοι οι φορείς
F33	Δασικές Πυρκαγιές	Ενέργεις για τον σχεδιασμό πολιτικής προστασίας και για τον συντονισμό των φορέων	Συγκρότηση ενιαίας πρότασης με βάση τις αποφάσεις των Συντονιστικών Πολιτικής Προστασίας των Περιφερειακών Ενοτήτων για τα μέτρα και τις δράσεις σε επίπεδο περιφέρειας/Περιφερειακός Σχεδιασμός	Πρόληψη, Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
F34	Δασικές Πυρκαγιές	Ενέργεις για τον σχεδιασμό πολιτικής προστασίας και για τον συντονισμό των φορέων	Κοινοποίηση των αποφάσεων των Συντονιστικών Πολιτικής Προστασίς στις Αποκεντρωμένες Διοίκησεις και την Πυροσβεστική	Πρόληψη, Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
F35	Δασικές Πυρκαγιές	Ενέργεις για τον σχεδιασμό πολιτικής προστασίας και για τον συντονισμό των φορέων	Λήψη αποφάσεων σχετικά με τον σχεδιασμό σε επίπεδο Αποκεντρωμένης Διοίκησης για την αντιπυρική προστασία	Πρόληψη, Ετοιμότητα	Αποκεντρωμένες Διοικήσεις	Γενικός Γραμματέας, Διεύθυνση Δ/νση Δασών, Δ/νση Πολιτική Προστασίας των Α/Δ	-
F36	Δασικές Πυρκαγιές	Ενέργεις για τον σχεδιασμό πολιτικής προστασίας και για τον συντονισμό των φορέων	Οργάνωση Τοπικών Συντονιστικών Πολιτικής Προστασίας (ΣΤΟ) - Kαθορισμός μέτρων πρόληψης και δράσεων συντονισμού σε τοπικό επίπεδο	Πρόληψη, Ετοιμότητα	Δήμοι	Αντιδήμαρχος, Γραφείο Πολιτικής Προστασίας των Δήμων	Όλοι οι φορείς
F37	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Λήψη μέτρων αυξημένης επιτήρησης σε δάση και δασικές εκτάσεις σε συνθήκες αυξημένης ετοιμότητας (Κλίμακα 4 και 5 στην ημερήσια πρόβλεψη)	Ετοιμότητα	Π.Σ	-	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας
F38	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Εφαρμογή, σε κατάσταση αυξημένης ετοιμότητας, του μέτρου της προληπτικής απαγόρευσης της κυκλοφορίας οχημάτων και παραμονής εκδρομέων σε εθνικούς δρυμούς, δάση και "ευπαθείς" περιοχές	Ετοιμότητα	Περιφερειακές Ενότητες	Αντιπεριφερειάρχες	-
F39	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού μέσω δελτίων τύπου για τον αυξημένο κίνδυνο εκδήλωσης δασικών πυρκαγιών	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
F40	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Λήψη μέτρων σε περιπτώσεις αυξημένης ετοιμότητας (κλίμακες 4 και 5 στην ημερήσια πρόβλεψη) για την αποφυγή πρόκλησης πυρκαγιάς σε χώρους ανεξέλεγκτης εναπόθεσης αστικών απορριμμάτων	Ετοιμότητα	Δήμοι	-	-
F41	Δασικές Πυρκαγιές	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Λήψη μέτρων κατά την εκτέλεση βολών σε στρατιωτικές ασκήσεις, σε περιπτώσεις αυξημένης ετοιμότητας (κλίμακες 4 και 5 στην ημερήσια πρόβλεψη)	Ετοιμότητα	ΓΕΕΘΑ/ΕΘΚΕΠΙΧ	-	-
F42	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση σε τοπικό επίπεδο, των αγροτών, κτηνοτρόφων και μελισσοκόμων για τον πολύ υψηλό κίνδυνο πυρκαγιάς με σχετικές ανακοινώσεις	Ετοιμότητα	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας		-
F43	Δασικές Πυρκαγιές	Δράσεις ετοιμότητας του μηχανισμού πολιτικής προστασίας	Ετοιμότητα του προσωπικού και των μέσων των εμπλεκομένων φορέων σε συνθήκες αυξημένης ετοιμότητας (κλίμακες 4 και 5 στην ημερήσια πρόβλεψη)	Ετοιμότητα	Δήμοι, Περιφέρειες, Αποκεντρωμένες Διοικήσεις	-	-
F44	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Ενέργειες για τον έλεγχο και την καταστολή των δασικών πυρκαγιών	Αντιμετώπιση	Π.Σ	-	-
F45	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Εκδοση αρχικής ειδοποίησης – αναγγελίας σχετικά με την έναρξη/εκδήλωση δασικής πυρκαγιάς	Αντιμετώπιση	Π.Σ	-	-
F46	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Οργάνωση, διαχείριση και συντονισμός όλων των εμπλεκόμενων δυνάμεων πυρόσβεσης και διάσωσης, του εξοπλισμού και των μέσων	Αντιμετώπιση	Π.Σ	-	-
F47	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Διάθεση υδροφόρων οχημάτων και μηχανημάτων έργων για την υποστήριξη του έργου του Πυροσβεστικού Σώματος	Αντιμετώπιση	ΟΤΑ, Άλλοι φορείς	-	-
F48	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Επιχειρησιακή διαχείριση των μέσων που υποστηρίζουν το έργο της καταστολής του Πυροσβεστικού Σώματος	Αντιμετώπιση	Π.Σ.	-	-
F49	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Λήψη μέτρων τροχαίας για τη διευκόλυνση της κίνησης των οχημάτων του ΠΣ που εμπλέκονται στην καταστολή	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
F50	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Προληπτική διακοπή ηλεκτροδότησης για την ασφάλεια του προσωπικού του ΠΣ που σπεύδει στην κατάσβεση των πυρκαγιών	Αντιμετώπιση	ΑΔΜΗΕ - ΔΕΔΗΕ	-	-
F51	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Διευκόλυνση της, από θάλασσας, μεταφοράς πεζοπόρων τμημάτων ή και οχημάτων του ΠΣ καθώς και άλλων φορέων που υποστηρίζουν το έργο του ΠΣ	Αντιμετώπιση	Λιμενινό Σώμα	-	-
F52	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Διάθεση προσωπικού και μέσων για την υποστήριξη του έργου της καταστολής του ΠΣ, μετά από αίτημα όπως προβλέπεται από τις διατάξεις	Αντιμετώπιση	ΓΕΕΘΑ	-	-
F53	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Αποστολή ασθενοφόρων και κινητών μονάδων στον τόπο της πυρκαγιάς, για την αντιμετώπιση περιστατικών	Αντιμετώπιση	ΕΚΑΒ	-	-
F54	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Απεγκλωβισμός και διάσωση πολιτών που βρίσκονται σε επαφή με τον φλεγόμενο χώρο, ή εντός αυτού	Αντιμετώπιση	Π.Σ	-	-
F55	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Υλοποίηση του μέτρου της οργανωμένης απομάκρυνσης πολιτών ως μέτρο προληπτικής προστασίας τους	Αντιμετώπιση	Δήμοι	Δήμαρχος, Αντιδήμαρχος Πολιτικής Προστασίας	-
F56	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Λήψη μέτρων τροχαίας κίνησης για την αποφυγή κυκλοφοριακής συμφόρησης, τόσο στην πληγείσα περιοχή όσο και ευρύτερα, εκτροπή ροής κυκλοφορίας των λοιπών οχημάτων προς αποφυγή εγκλωβισμού τους στην πυρκαγιά, καθώς και λήψη μέτρων διευκόλυνσης των πολιτών που απομακρύνονται από την πληγείσα περιοχή	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
F57	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Αντιμετώπιση περιστατικών υγείας πολιτών από την έκθεσή τους σε παράγωγα καύσης ή από τραυματισμούς	Αντιμετώπιση	ΕΚΑΒ, ΕΚΕΠΥ	-	-
F58	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Άμεση παροχή βοήθειας στους πληγέντες (Διοικητική Μέριμνα)	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	-	-
F59	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Λήψη μέτρων τάξης και ασφάλειας	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
F60	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Άμεση επαναλειτουργία των δικτύων ηλεκτροδότησης	Αντιμετώπιση	ΔΕΔΔΗΕ, ΑΔΜΗΕ	-	-
F61	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού σχετικά με την εκδήλωση δασικών πυρκαγιών και το έργο καταστολής	Αντιμετώπιση	Π.Σ.	-	-
F62	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού για δράσεις πολιτικής προστασίας που αφορούν την αντιμετώπιση εκτάκτων αναγκών λόγω δασικών πυρκαγιών και παροχή οδηγιών με στόχο την ελαχιστοποίηση των συνεπειών τους	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας, Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	-	-
F63	Δασικές Πυρκαγιές	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού για λήψη μέτρων προστασίας της υγείας τους λόγω δασικών πυρκαγιών	Αντιμετώπιση	ΕΚΕΠΥ	-	-
F64	Δασικές Πυρκαγιές	Κήρυξη περιοχών σε κατάσταση έκτακτης ανάγκης	Παροχή εξουσιοδότησης από τον Γενικό Γραμματέα Πολιτικής Προστασίας προς τον Γενικό Γραμματέα Α/Δ ή τον Οικείο Περιφερειάρχη σχετικά με την κήρυξη περιοχών σε κατάσταση έκτακτης ανάγκης, σε περιπτώσεις καταστροφών μικρής έκτασης	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας, Αποκεντρωμένες Διοικήσεις, Περιφέρειες,	Γενικός Γραμματέας Πολιτικής Προστασίας, Γενικός Γραμματέας Α/Δ, Περιφερειάρχης	-
F65	Δασικές Πυρκαγιές	Κήρυξη περιοχών σε κατάσταση έκτακτης ανάγκης	Σε περιπτώσεις που η καταστροφή εκτείνεται σε περισσότερες από τρείς Περιφέρειες της χώρας, εισήγηση του Γ.Γ.Π.Π στον αρμόδιο Αναπληρωτή Υπουργό Εσωτερικών για τον χαρακτηρισμό της καταστροφής ως γενικής και την έκδοση της αντίστοιχης απόφασης για την κήρυξη κατάστασης έκτακτης ανάγκης	Αντιμετώπιση	Υπουργείο Εσωτερικών, Γενική Γραμματεία Πολιτικής Προστασίας	Αναπληρωτής Υπουργός Εσωτερικών - Γενικός Γραμματέας Πολιτικής Προστασίας	-
F66	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Εισήγηση για την αναγκαιότητα λήψης του μέτρου της οργανωμένης απομάκρυνσης των πολιτών	Αντιμετώπιση	Π.Σ.	-	-
F67	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Οργανωμένη απομάκρυνσή πολιτών από την περιοχή που εκτιμάται ότι απειλείται από εξελισσόμενη ή επικείμενη καταστροφή. Λήψη της απόφασης για την οργανωμένη απομάκρυνση των πολιτών σε τοπικό επίπεδο	Αντιμετώπιση	Δήμοι	Δήμαρχος	-
F68	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Οργανωμένη απομάκρυνσή πολιτών από την περιοχή που εκτιμάται ότι απειλείται από εξελισσόμενη ή επικείμενη καταστροφή. Λήψη της απόφασης για την οργανωμένη απομάκρυνση των πολιτών σε περιφερειακό επίπεδο	Αντιμετώπιση	Περιφέρειες/Περιφερειακές Ενότητες	Περιφερειάρχης/Αντιπεριφερειάρχης	-
F69	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Οργανωμένη απομάκρυνσή πολιτών από την περιοχή που εκτιμάται ότι απειλείται από εξελισσόμενη ή επικείμενη καταστροφή. Λήψη της απόφασης για την οργανωμένη απομάκρυνση των πολιτών σε γενικευμένη καταστροφή	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας - Αποκεντρωμένες Διοικήσεις	Γενικός Γραμματέας Πολιτικής Προστασίας, Γενικός Γραμματέας Α/Δ	-
F70	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Οργανωμένη απομάκρυνσή πολιτών από την περιοχή που εκτιμάται ότι απειλείται από εξελισσόμενη ή επικείμενη καταστροφή. Απομάκρυνση των πολιτών, με τη χρήση πλωτών θαλασσίων μέσων	Αντιμετώπιση	Λιμενικό	-	-
F71	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Οργάνωση και απομάκρυνση πολιτκών σε ειδικές περιπτώσεις (Κατασκηνώσεις, Αρχαιολογικοί χώροι κλπ.)	Αντιμετώπιση	Υπεύθυνος Ασφαλείας	-	-
F72	Δασικές Πυρκαγιές	Ενέργεις για την αντιμετώπιση φαινομένων, τη διαχείριση των συνεπειών τους και για τον συντονισμό των φορέων	Άμεση χαρτογράφηση της πληγείσας περιοχής μέσω της ενεργοποίησης του συστήματoς Copernicus	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
F73	Δασικές Πυρκαγιές	Ενέργειες αποκατάστασης	Οικονομική ενίσχυση πληγέντων. Συγκρότηση επιτροπών για την καταγραφή και την εκτίμηση των ζημιών και για την ενημέρωση των πολιτών σχετικά με τα γενικότερα μέτρα αποκατάστασης που ενδεχομένως τους αφορούν	Αποκατάσταση	Δήμοι	-	-
F74	Δασικές Πυρκαγιές	Ενέργεις αποτίμησης και απολογισμού	Καταγραφή των καμένων εκτάσεων	Αποκατάσταση	Αποκεντρωμένες Διοικήσεις	Δασικές Υπηρεσίας	Π.Σ
F75	Δασικές Πυρκαγιές	Ενέργεις αποτίμησης και απολογισμού	Προστασία των καμένων εκτάσεων	Αποκατάσταση	Αποκεντρωμένες Διοικήσεις	Δασικές Υπηρεσίας	-
F76	Δασικές Πυρκαγιές	Ενέργεις αποτίμησης και απολογισμού	Έκδοση πράξης αναδάσωσης	Αποκατάσταση	Αποκεντρωμένες Διοικήσεις	Δασικές Υπηρεσίας	-
F77	Δασικές Πυρκαγιές	Ενέργειες αποκατάστασης	Οικονομική ενίσχυση πληγέντων. Eκτίμηση του ποσού που θα απαιτηθεί προκειμένου να καταβληθεί στους πληγέντες	Αποκατάσταση	Δήμοι	Διευθύνσεις - Τμήματα Πρόνοιας των Δήμων	-
F78	Δασικές Πυρκαγιές	Ενέργειες αποκατάστασης	Αποκατάσταση ζημιών σε κτίρια λόγω δασικών πυρκαγιών	Αποκατάσταση	-	-	-
F79	Δασικές Πυρκαγιές	Ενέργεις αποτίμησης και απολογισμού	Τήρησης ειδικού φακέλου για τις γενικές, περιφερειακές ή τοπικές μεγάλης έντασης καταστροφές	Αποκατάσταση	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
F80	Δασικές Πυρκαγιές	Ενέργεις αποτίμησης και απολογισμού	Συγκέντρωση των καταγραφών των επιπτώσεων από τους διάφορους φορείς	Αποκατάσταση	Αποκεντρωμένες Διοικήσεις	Δ/νσεις Πολιτικής Προστασίας	-
FL1	Πλημμυρικά φαινόμενα	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Έλεγχος των αντιπλημμυρικών έργων και συντήρησή τους	Πρόληψη	Περιφέρειες, Δήμοι	-	-
FL2	Πλημμυρικά φαινόμενα	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Μελέτη και εκτέλεση έργων συγκράτησης των εδαφών (κορμοδέματα, κορμοφράγματα, αυλακώσεις κλπ.) σε δασικές εκτάσεις στις οποίες η φυσική βλάστηση έχει καταστραφεί από πυρκαγιές	Πρόληψη	Αποκεντρωμένες Διοικήσεις	Δασικές Υπηρεσίας	-
FL3	Πλημμυρικά φαινόμενα	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Λήψη των απαραίτητων μέτρων προστασίας από τον κίνδυνο των πλημμυρών στις εγκαταστάσεις των Δημοτικών Επιχειρήσεων και Εταιριών Ύδρευσης Αποχέτευσης, ιδιαίτερα των αντλιοστασίων και των υδραγωγείων	Πρόληψη	Δήμοι	-	-
FL4	Πλημμυρικά φαινόμενα	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Απομάκρυνση των απορριμμάτων, φερτών υλικών, φυλλώματος δένδρων, κλπ., τα οποία βρίσκονται σε δρόμους και κοινόχρηστους χώρους εντός του αστικού χώρου και μπορεί να προκαλέσουν εμφράξεις σε παρακείμενα φρεάτια απορροής όμβριων υδάτων	Πρόληψη	Δήμοι	-	-
FL5	Πλημμυρικά φαινόμενα	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Ολοκλήρωση αντιπλημμυρικών έργων σε περιοχές που βαρύνονται με ανάλογο ιστορικό και κατά προτεραιότητα σε περιοχές που έχουν πρόσφατα πληγεί από δασικές πυρκαγιές, καθώς και προγραμματισμό και εκτέλεση νέων έργων, όπου αυτό κρίνεται απαραίτητο	Πρόληψη	Περιφέρειες, Δήμοι	-	-
FL6	Πλημμυρικά φαινόμενα	Ενέργειες σχεδιασμού	Σύνταξη μνημονίων ενεργειών	Ετοιμότητα	Αποκεντρωμένες Διοικήσεις, Δήμοι, Περιφέρειες	Υπηρεσίες Πολιτικής Προστασίας	-
FL7	Πλημμυρικά φαινόμενα	Ενέργειες για τη μείωση του κινδύνου πρόκλησης φαινομένου	Αποτροπή εμφάνισης πλημμυρικών φαινομένων και δυσχερειών στο οδικό δίκτυο λόγω έντονων βροχοπτώσεων Συντήρηση του δικτύου ομβρίων υδάτων των οδών όπως ο καθαρισμός και η συντήρηση των εσχαρών των φρεατίων υδροσυλλογής, των καπακιών των φρεατίων επίσκεψης, του σώματος των φρεατίων υδροσυλλογής, των συνδετήριων αγωγών των φρεατίων αυτών με το υφιστάμενο δίκτυο ομβρίων, των φρεατίων επίσκεψης, καθώς και των αγωγών του δικτύου ομβρίων	Πρόληψη	Δήμοι, Περιφέρειες, Φορείς υπεύθυνοι για τη συντήρηση του οδικού δικτύου	-	-
FL8	Πλημμυρικά φαινόμενα	Ενέργειες έγκαιρης προειδοποίσης	Έκδοση δελτίων πρόγνωσης επικίνδυνων καιρικών φαινομένων στα οποία προσδιορίζονται χωρικά και χρονικά η εξέλιξη των καιρικών φαινομένων	Ετοιμότητα	ΕΜΥ	-	-
FL9	Πλημμυρικά φαινόμενα	Ενέργειες έγκαιρης προειδοποίσης	Αρχική προώθηση των δελτίων επικίνδυνων καιρικών φαινομένων	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	Κέντρο Επιχειρήσεων	-
FL10	Πλημμυρικά φαινόμενα	Ενέργειες έγκαιρης προειδοποίσης	Προώθηση των δελτίων επικίνδυνων καιρικών φαινομένων σε τοπικό επίπεδο (στους Δήμους)	Ετοιμότητα	Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας	Περιφέρειες - Δ/νση Πολιτικής Προστασίας των Περιφερειών
FL11	Πλημμυρικά φαινόμενα	Λήψη μέτρων σε κατάσταση αυξημένης ετοιμότητας	Εστίαση σε περιοχές που βαρύνονται με ανάλογο ιστορικό και λήψη μέτρων που αποσκοπούν στη μείωση της πιθανότητας εμφάνισης του φαινομένου ή του μετριασμού των συνεπειών του	Ετοιμότητα	Δήμοι, Περιφέρειες, Αποκεντρωμένες Διοικήσεις, ΕΛ.ΑΣ, Πυροσβεστικό Σώμα, Φορείς συντήρησης,	-	-
FL12	Πλημμυρικά φαινόμενα	Λήψη μέτρων σε κατάσταση αυξημένης ετοιμότητας	Λήψη μέτρων σε επικίνδυνα σημεία του οδικού δικτύου (π.χ. σε ιρλανδικές διαβάσεις όπου χείμαρροι διασταυρώνονται με το οδικό δίκτυο χωρίς γέφυρα	Ετοιμότητα	ΕΛ.ΑΣ, Δήμοι, Περιφέρειες, Αποκεντρωμένες Διοικήσεις, Φορείς συντήρησης	-	-
FL13	Πλημμυρικά φαινόμενα	Ενημέρωση και πληροφόρηση του κοινού	Έκδοση δελτίων τύπου και αποστολή τους στα Μέσα Μαζικής Ενημέρωσης, ανάρτηση σε δικτυακό χώρο, με στόχο την ενημέρωση του κοινού για τη λήψη μέτρων αυτοπροστασίας από ενδεχόμενους κινδύνους που προέρχονται από πλημμυρικά φαινόμενα	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
FL14	Πλημμυρικά φαινόμενα	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού για την επικρατούσα κατάσταση προσβασιμότητα του οδικού δικτύου	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
FL15	Πλημμυρικά φαινόμενα	Αρχική ειδοποίηση - πρώτη εκτίμηση επιπτώσεων	Επίσημη ενημέρωση του Κέντρου Επιχειρήσεων της Γενικής Γραμματείας και των εμπλεκομένων φορέων για την επικρατούσα κατάσταση στην περιοχή ευθύνης	Αντιμετώπιση	ΕΛ.ΑΣ	-	Πυροσβεστικό Σώμα
FL16	Πλημμυρικά φαινόμενα	Αρχική ειδοποίηση - πρώτη εκτίμηση επιπτώσεων	Επικοινωνία του Κέντρου Επιχειρήσεων Πολιτικής Προστασίας με τα αποκεντρωμένα όργανα πολιτικής προστασίας	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας	Κέντρο Επιχειρήσεων	-
FL17	Πλημμυρικά φαινόμενα	Αρχική ειδοποίηση - πρώτη εκτίμηση επιπτώσεων	Επικοινωνία μεταξύ των επιχειρησιακών φορέων και των αποκεντρωμένων οργάνων πολιτικής προστασίας	Αντιμετώπιση	ΕΛ.ΑΣ	-	Όλοι οι φορείς
FL18	Πλημμυρικά φαινόμενα	Αρχική ειδοποίηση - πρώτη εκτίμηση επιπτώσεων	Πραγματοποίηση πτήσεων πάνω από τις πληγείσες περιοχές για την από αέρος συλλογή πληροφοριών σχετικά με τις επιπτώσεις της πλημμύρας και την επικρατούσα κατάσταση	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
FL19	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και διαχείριση των συνεπειών	Αστική έρευνα και διάσωση, άντληση υδάτων	Αντιμετώπιση	Π.Σ.	-	ΕΛ.ΑΣ., Λ.Σ., ΕΚΑΒ, Τεχνικές Υπηρεσίες των Δήμων
FL20	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Λήψη μέτρων τροχαίας (προσωρινή σήμανση, εκτροπή κυκλοφορίας κτλ.) ή και διακοπής της κυκλοφορίας προς αποφυγή ατυχημάτων και προς διευκόλυνση του έργου της αποκατάστασης, σε περιπτώσεις που τμήμα του οδοστρώματος του οδικού δικτύου της χώρας έχει κατακλυστεί από πλημμυρικά ύδατα ή έχουν σημειωθεί φθορές ή ζημιές λόγω έντονων βροχοπτώσεων.	Αντιμετώπιση	ΕΛ.ΑΣ	Τροχαία	-
